model_id,downloads (past month),quantization,num_ops,ops
jinaai/jina-reranker-v2-base-multilingual,790753,fp16,26,"Add, Cast, Concat, ConstantOfShape, CumSum, Div, Einsum, Equal, Erf, Gather, Gemm, MatMul, Mul, Not, Pow, ReduceMean, Reshape, Shape, Softmax, Split, Sqrt, Squeeze, Sub, Tanh, Unsqueeze, Where"
jinaai/jina-reranker-v2-base-multilingual,790753,bnb4,26,"Add, Cast, Concat, ConstantOfShape, CumSum, Div, Einsum, Equal, Erf, Gather, Gemm, MatMulBnb4, Mul, Not, Pow, ReduceMean, Reshape, Shape, Softmax, Split, Sqrt, Squeeze, Sub, Tanh, Unsqueeze, Where"
hf-internal-testing/tiny-random-GPTNeoXForCausalLM,772421,fp32,24,"Add, Cast, Concat, Constant, ConstantOfShape, Div, Erf, Gather, Identity, MatMul, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Squeeze, Sub, Transpose, Unsqueeze, Where"
hf-internal-testing/tiny-random-GPTJForCausalLM,740727,fp32,28,"Add, Cast, Concat, Constant, ConstantOfShape, Div, Expand, Gather, GatherElements, Identity, MatMul, Mul, Neg, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Squeeze, Sub, Tanh, Tile, Transpose, Unsqueeze, Where"
Snowflake/snowflake-arctic-embed-m,709913,uint8,22,"Add, Cast, Concat, Constant, DequantizeLinear, Div, DynamicQuantizeLinear, Erf, Gather, MatMul, MatMulInteger, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Snowflake/snowflake-arctic-embed-m,709913,quantized,22,"Add, Cast, Concat, Constant, DequantizeLinear, Div, DynamicQuantizeLinear, Erf, Gather, MatMul, MatMulInteger, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Snowflake/snowflake-arctic-embed-m,709913,q4,20,"Add, Cast, Concat, Constant, Div, Erf, Gather, MatMul, MatMulNBits, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Snowflake/snowflake-arctic-embed-m,709913,int8,22,"Add, Cast, Concat, Constant, DequantizeLinear, Div, DynamicQuantizeLinear, Erf, Gather, MatMul, MatMulInteger, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Snowflake/snowflake-arctic-embed-m,709913,fp32,19,"Add, Cast, Concat, Constant, Div, Erf, Gather, MatMul, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Snowflake/snowflake-arctic-embed-m,709913,fp16,19,"Add, Cast, Concat, Constant, Div, Erf, Gather, MatMul, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
Snowflake/snowflake-arctic-embed-m,709913,bnb4,20,"Add, Cast, Concat, Constant, Div, Erf, Gather, MatMul, MatMulBnb4, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
hf-internal-testing/tiny-random-BloomForCausalLM,707921,fp32,28,"Add, Cast, Concat, Constant, ConstantOfShape, CumSum, Div, Equal, Expand, Gather, Identity, Less, MatMul, Mul, Pow, Range, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Squeeze, Sub, Tanh, Transpose, Unsqueeze, Where"
hf-internal-testing/tiny-random-GPTBigCodeForCausalLM,662156,fp32,27,"Add, And, Cast, Concat, Constant, ConstantOfShape, Div, Equal, Expand, Gather, Identity, MatMul, Mul, Pow, ReduceMean, Relu, Reshape, Shape, Slice, Softmax, Split, Sqrt, Squeeze, Sub, Transpose, Unsqueeze, Where"
nomic-ai/nomic-embed-text-v1.5,635499,uint8,27,"Add, Cast, Concat, Cos, DequantizeLinear, Div, DynamicQuantizeLinear, Einsum, Expand, Gather, MatMul, MatMulInteger, Mul, Neg, Pow, Range, ReduceMean, Reshape, Shape, Sigmoid, Sin, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
nomic-ai/nomic-embed-text-v1.5,635499,quantized,27,"Add, Cast, Concat, Cos, DequantizeLinear, Div, DynamicQuantizeLinear, Einsum, Expand, Gather, MatMul, MatMulInteger, Mul, Neg, Pow, Range, ReduceMean, Reshape, Shape, Sigmoid, Sin, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
nomic-ai/nomic-embed-text-v1.5,635499,q4f16,25,"Add, Cast, Concat, Cos, Div, Einsum, Expand, Gather, MatMul, MatMulNBits, Mul, Neg, Pow, Range, ReduceMean, Reshape, Shape, Sigmoid, Sin, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
nomic-ai/nomic-embed-text-v1.5,635499,q4,25,"Add, Cast, Concat, Cos, Div, Einsum, Expand, Gather, MatMul, MatMulNBits, Mul, Neg, Pow, Range, ReduceMean, Reshape, Shape, Sigmoid, Sin, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
nomic-ai/nomic-embed-text-v1.5,635499,int8,27,"Add, Cast, Concat, Cos, DequantizeLinear, Div, DynamicQuantizeLinear, Einsum, Expand, Gather, MatMul, MatMulInteger, Mul, Neg, Pow, Range, ReduceMean, Reshape, Shape, Sigmoid, Sin, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
nomic-ai/nomic-embed-text-v1.5,635499,fp32,24,"Add, Cast, Concat, Cos, Div, Einsum, Expand, Gather, MatMul, Mul, Neg, Pow, Range, ReduceMean, Reshape, Shape, Sigmoid, Sin, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
nomic-ai/nomic-embed-text-v1.5,635499,fp16,24,"Add, Cast, Concat, Cos, Div, Einsum, Expand, Gather, MatMul, Mul, Neg, Pow, Range, ReduceMean, Reshape, Shape, Sigmoid, Sin, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
nomic-ai/nomic-embed-text-v1.5,635499,bnb4,25,"Add, Cast, Concat, Cos, Div, Einsum, Expand, Gather, MatMul, MatMulBnb4, Mul, Neg, Pow, Range, ReduceMean, Reshape, Shape, Sigmoid, Sin, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
hf-internal-testing/tiny-random-gpt_neo,632558,fp32,27,"Add, Cast, Concat, Constant, ConstantOfShape, Div, Equal, Expand, Gather, Identity, Less, MatMul, Mul, Pow, Range, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Squeeze, Sub, Tanh, Transpose, Unsqueeze, Where"
hf-internal-testing/tiny-random-BertModel,617219,fp32,20,"Add, Cast, Concat, Constant, Div, Erf, Gather, Identity, MatMul, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Sub, Transpose, Unsqueeze"
hf-internal-testing/tiny-random-BartForConditionalGeneration,598069,fp32,28,"Add, Cast, Concat, Constant, ConstantOfShape, Div, Equal, Erf, Expand, Gather, Identity, If, Less, MatMul, Mul, Pow, Range, ReduceMean, Reshape, Shape, Slice, Softmax, Sqrt, Squeeze, Sub, Transpose, Unsqueeze, Where"
Marqo/marqo-fashionSigLIP,521515,uint8,27,"Add, Cast, Concat, ConvInteger, DequantizeLinear, Div, DynamicQuantizeLinear, Equal, Erf, Expand, Gather, MatMul, MatMulInteger, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Squeeze, Sub, Transpose, Unsqueeze, Where"
Marqo/marqo-fashionSigLIP,521515,quantized,27,"Add, Cast, Concat, ConvInteger, DequantizeLinear, Div, DynamicQuantizeLinear, Equal, Erf, Expand, Gather, MatMul, MatMulInteger, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Squeeze, Sub, Transpose, Unsqueeze, Where"
Marqo/marqo-fashionSigLIP,521515,q4f16,26,"Add, Cast, Concat, Conv, Div, Equal, Erf, Expand, Gather, Gemm, MatMul, MatMulNBits, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Squeeze, Sub, Transpose, Unsqueeze, Where"
Marqo/marqo-fashionSigLIP,521515,q4,25,"Add, Concat, Conv, Div, Equal, Erf, Expand, Gather, Gemm, MatMul, MatMulNBits, Mul, Pow, ReduceMean, Reshape, Shape, Slice, Softmax, Split, Sqrt, Squeeze, Sub, Transpose, Unsqueeze, Where"
